ID,NoFloor,FloorArea(m2),TotalFloorArea(m2),ColumnArea(m2),ConcreteWallArea(NS)(m2),ConcreteWallArea(EW)(m2),MasonryWallArea(NS)(m2),MasonryWallArea(EW)(m2),StructuralDamage
144,5,205,1026,2.8,0,0,0.26,0.37,1
145,4,686,3169,5,0,0,0.4,0.43,1
146,3,109,327,2.2,0,0,0.09,0.11,0
149,1,114,114,1,0,0,0.16,0.09,0
150,3,139,417,1.8,0,0,0.73,0.07,1
151,2,448,897,2.2,0,0,0.5,0.17,1
152,3,242,726,3,0,0,0.44,0.19,1
153,3,48,144,0.5,0,0,0.22,0.05,0
155,4,206,824,2.8,0,0,0.31,0.45,1
156,1,96,96,0.7,0,0,0.24,0.07,1
157,3,522,1566,5.4,0,0,0.72,0.61,1
159,2,328,657,2.2,0,0,0.28,0.53,0
160,2,312,623,3.3,0,0,0.59,0.52,0
161,2,351,702,2.8,0,0,0.5,0.65,1
162,2,317,635,2.3,0,0,0.33,0.31,1
164,2,157,314,2,0,0,0.2,0.39,0
165,3,229,688,1.1,0,0,0,0.27,1
166,3,225,676,1.1,0,0,0,0.28,0
167,3,284,852,1.7,0,0,0.34,0,1
168,4,218,874,3,0,0,0.19,0.21,1
169,3,229,688,1.7,0,0,0.34,0,0
170,3,237,712,5,0,0,0.39,0,0
171,5,262,1310,3.2,0,0,0.29,0.19,1
172,2,164,328,1.6,0,0,0,0.17,1
173,2,43,86,0.6,0,0,0.09,0.41,1
174,2,161,323,0.6,0,0,0.27,0.04,0
175,1,258,258,0.8,0,0,0.15,0.79,1
176,2,178,356,2.4,0,0,0.05,0.34,0
177,1,164,164,1.4,0,0,0.28,0.21,0
178,3,271,813,2.3,0,0,0.2,0.41,1
179,3,66,197,1,0,0,0.11,0.05,0
180,2,138,276,1.5,0,0,0.4,0.08,1
181,4,180,719,1.9,0,0,0.36,0.34,1
182,6,183,1098,3.7,0,0,0.22,0.62,1
183,4,358,1433,3.4,0,0,0.25,0.58,1
184,2,157,315,1.2,0,0,0.31,0,1
185,2,136,272,1.1,0,0,0,0.17,0
186,2,116,232,1.1,0,0,0,0.13,0
187,2,218,437,1.7,0,0,0.4,0,1
188,2,173,346,2.1,0,0,0.21,0.14,0
189,2,156,312,2,0,0,0.24,0,0
190,2,145,290,2,0,0,0.2,0.15,0
191,5,248,1242,2.9,0,0,0.35,0.13,0
192,6,258,1545,5.3,0,0,0.23,0.13,1
193,3,179,537,1.8,0,0,0.1,0,0
194,3,171,514,2.2,0,0,0.15,0.12,0
195,3,475,1425,4.3,0,0,0.52,0.32,0
196,4,60,238,1,0,0,0.08,0,0
197,5,60,299,1.2,0,0,0.21,0.1,0
198,5,77,387,0.9,0,0,0.03,0.14,0
199,5,83,414,1.3,0,0,0.09,0.03,1
200,6,527,3160,9.7,0,0,0.43,0.3,1
201,2,77,155,1.4,0,0,0,0.21,0
202,2,366,731,3.1,0,0,0.59,0.2,0
203,5,61,305,2.4,0,0,0.2,0.14,1
204,2,162,324,1.5,0,0,0.31,0.22,0
205,3,89,266,1.6,0,0,0.39,0.82,0
206,2,157,315,1.4,0,0,0.2,0.1,0
207,2,209,418,3.2,0,0,0.48,0.14,0
208,5,131,657,3.6,0,0,0.14,0.2,0
209,4,164,656,2,0,0,0.13,0.12,0
210,3,82,246,1.8,0,0,0.16,0.76,1
211,5,130,583,1.8,0,0,0.1,0.11,1
212,3,129,388,1.8,0,0,0.1,0.11,1
213,6,222,1333,3,0,0,0.31,0.01,1
214,4,123,493,1.4,0,0,0.06,0.14,1
215,3,264,792,3.2,0,0,0.1,0.27,1
216,3,153,460,1.4,0,0,0.53,0.18,1
217,2,87,175,0.8,0,0,0.2,0.11,0
218,2,229,459,3.6,0,0,0,0.14,0
219,1,223,223,1.7,0,0,0.14,0,0
221,3,254,762,2.1,0,0,0.11,0,0
222,2,432,864,2.3,0,0,0.23,0.5,0
223,2,474,947,2.7,0,0,0.23,0.51,0
